Date;PILIHAN;BREAKFAST;SHIFT 3;SHIFT 1;SHIFT 2
12/01/2024;PILIHAN 1;* Bakso komplit;Nasi Liwet Komplit, Paket Nasi Liwet, Tumis buncis, Tahu Gr.Bacem, Tempe Gr.Bacem, Kerupuk, Sambal Goang, Semangka;Nasi Liwet Komplit, Paket Nasi Liwet teri, Urap Sayuran, Perkedel kentang, Oseng tahu cabe ijo, Kerupuk, Sambal Goang, Semangka;Nasi Liwet Komplit, Paket Nasi Liwet, Sayur Asem Betawi, Kripik tempe, Tahu Bacem, Kerupuk, Sambal Goang, Semangka
12/01/2024;PILIHAN 2;* TLJ Chocolate cheese + Telur Rebus;Nasi Liwet Komplit, Ayam Gr Bawang Putih, Tumis buncis, Tahu Gr.Bacem, Tempe Gr.Bacem, Kerupuk, Sambal Goang, Semangka;Nasi Liwet Komplit, Ayam Gr Bawang Putih, Urap Sayuran, Perkedel kentang, Oseng tahu cabe ijo, Kerupuk, Sambal Goang, Semangka;Nasi Liwet Komplit, Ayam Gr Bawang Putih, Sayur Asem Betawi, Kripik tempe, Tahu Bacem, Kerupuk, Sambal Goang, Semangka, 
13/01/2024;PILIHAN 1;* Nasi Langgi;Nasi Putih, Ayam Suwir bb.kecap cb.ijo, cap cay kuah, Orek Tempe, Soun cb.ijo, Kerupuk, sambal tomat, Melon;Nasi Putih, Ayam Crispy Masak paprika, Sawi Putih cah wortel, sapo Tahu Tahu, Mie Goreng, Kerupuk, sambal tomat, Melon;Nasi Putih, Ayam Gr.Padang, Bening Bayam jg.manis, Kering Tempe, Terong balado, Kerupuk, sambal tomat, Melon
13/01/2024;PILIHAN 2;* Wonder Donut Gr. Isi Stroberry + Telur Rebus;Nasi Putih, Ikan Mas Bkr sbl. Kecap, cap cay kuah, Orek Tempe, Soun cb.ijo, Kerupuk, sambal tomat, Melon;Nasi Putih, Ikan mas Gr. Bb. Bali, Sawi Putih cah wortel, sapo Tahu Tahu, Mie Goreng, Kerupuk, sambal tomat, Melon;Nasi Putih, Ikan Mas Gr. Acar Kuning, Bening Bayam jg.manis, Kering Tempe, Terong balado, Kerupuk, sambal tomat, Melon, 
14/01/2024;PILIHAN 1;* Nasi Goreng Jawa;Nasi Putih, Sosis Gulung goreng telur, Tumis Lb. Siam wortel, Bakwan Sayur, Kering Kentang, Kerupuk, sambal Tomat, Pepaya;Nasi Putih, Telur dadar padang pedas, Gulai daun singkong, Tempe Gr. Kuning, Terong Balado, Kerupuk , sambal Tomat, Pepaya;Nasi Putih, Kekkian goreng telur, Bening Bayam jg.manis, Tahu gr.Bacem, Bal.Kentang + Buncis, Kerupuk, sambal Tomat, Pepaya
14/01/2024;PILIHAN 2;* Masuta Kcg Tanah Bunga + Telur Rebus;Nasi Putih, Kakap crispy saos singapore, Tumis Lb. Siam wortel, Bakwan Sayur, Kering Kentang, Kerupuk, sambal Tomat, Pepaya;Nasi Putih, Kakap gr. Tepung sambal ijo, Gulai daun singkong, Tempe Gr. Kuning, Terong Balado, Kerupuk , sambal Tomat, Pepaya;Nasi Putih, Kakap Gr. Tepung saus mayonaisse, Bening Bayam jg.manis, Tahu gr.Bacem, Bal.Kentang + Buncis, Kerupuk, sambal Tomat, Pepaya, 
15/01/2024;PILIHAN 1;* Nasi Uduk Komplit  (Telur dadar gulung polos, bihun goreng, kering tempe teri   kacang, sambal kacang, kerupuk);Nasi Putih, Ayam goreng Kremes, Sayur asem  betawi, Tempe Mendoan, Tahu Bacem, Kerupuk, Sambal tomat, Semangka;Nasi Putih, Chicken Fillet Gr.crispy Sc. Mentega, Bening Bayam Jg. Manis, Oseng tahu cb,ijo, Tempe Crispy, Kerupuk, Sambal Gr.Terasi, Semangka;Nasi Putih, Ayam bakar kecap madu, Tumis labu siam wortel, Tahu isi, Tumis Bihun Sayuran, Kerupuk, Sambal Cb. Hijau, Semangka
15/01/2024;PILIHAN 2;* My Roti Sandwich Coklat + Telur Rebus;Nasi Putih, Bandeng presto gr. Telur, Sayur asem  betawi, Tempe Mendoan, Tahu Bacem, Kerupuk, Sambal tomat, Semangka;Nasi Putih, Bandeng presto gr. Telur, Bening Bayam Jg. Manis, Oseng tahu cb,ijo, Tempe Crispy, Kerupuk, Sambal Gr.Terasi, Semangka;Nasi Putih, Bandeng Presto Gr. Kremes sbl. Korek, Tumis labu siam wortel, Tahu isi, Tumis Bihun Sayuran, Kerupuk, Sambal Cb. Hijau, Semangka, 
16/01/2024;PILIHAN 1;* Ketupat Sayur Padang  (Ayam goreng lengkuas, Gulai Lb. Siam + Tahu, Sambal Cb.    Merah, krupuk);Nasi Putih, Telur Ceplok Gongso, Cah tauge wortel , Tempe gr. Ketumbar, Kentang balado, Kerupuk, Sambal Rebus, Pisang;Nasi Putih, Telur Dadar Padang, Sayur lodeh jawa, Tempe bacem, Kering Kentang Kacang, Kerupuk, Sambal Terasi, Pisang;Nasi Putih, Telur asin, Soto ayam koya (soun, tauge, kol, wortel), Tempe Crispy, Bakwan jagung sayuran, Kerupuk, Sambal goreng terasi, Pisang
16/01/2024;PILIHAN 2;* Masuta Sisir Kcg Merah + Telur Rebus;Nasi Putih, Lele bkr. Sambal kecap, Cah tauge wortel , Tempe gr. Ketumbar, Kentang balado, Kerupuk, Sambal Rebus, Pisang;Nasi Putih, Lele goreng lengkuas sambal korek, Sayur lodeh jawa, Tempe bacem, Kering Kentang Kacang, Kerupuk, Sambal Terasi, Pisang;Nasi Putih, Lele gr. Lengkuas sbl. Korek, Soto ayam koya (soun, tauge, kol, wortel), Tempe Crispy, Bakwan jagung sayuran, Kerupuk, Sambal goreng terasi, Pisang, 
